IBD_DN,IBD_UP
OOSP2,PROK2
DDHD2,C2
SPN,PPP1R3B
ITPA,CYB5R2
NMNAT3,H1FX
BTLA,CCR2
MTA2,FCGR2A
NENF,STEAP4
LCMT1,CXCL16
NME2,NDST2
CAMK1,SERPING1
MAP4K1,TAF13
TTLL1,PARP9
SCFD2,DLG4
C11orf1,SLC31A2
TSFM,LOXL1
NAAA,FTCD
GHRL,HMX1
ARMC6,MAML2
CNGA1,MSGN1
ST8SIA6,MT1JP
EIF3G,KLF1
NEURL1,CORO6
TGFBR3,SLC26A8
CLASP2,LYPD5
COQ9,CHMP5
STON2,CYP1B1
CARD11,JUNB
RDM1,HIST1H1E
TAS2R5,ATP6V1E1
HES1,CXCR1
ALDH5A1,SLC22A17
COX10,WBP11P1
HEXA,C11orf44
COA1,NUPR1L
APOA1BP,LPAR6
ANKAR,TMEM106A
POLR3B,FAM127C
CLEC4F,MAP1LC3A
EXOC4,RHBG
MGST2,CASP7
RAB44,PVRL2
CRP,SLK
PRKCH,MT1G
AHNAK,CYTIP
FCHO1,RAB2A
GNA12,S100A9
TIMM8A,SPRY3
ECHS1,CDX1
ERCC1,FAM160B1
RPS17,LILRB2
TMEM223,MTF1
TDP1,MBD5
CCDC170,EPAS1
ALOX15B,POMP
PARM1,CNFN
TASP1,SLAMF7
CDKN2AIP,CLK2P1
GUSBP4,TNFAIP6
SCRG1,DTX3L
PDE8B,BAZ1A
SPIB,NKX3-2
SMCO2,SPATC1
COBLL1,ZFP36L1
WDR4,APOL1
NOP9,N4BP1
PHKA1,IRF2BPL
TMEM174,SPSB2
XCL1,ONECUT1
AKR1B1,XRCC4
ORC5,FZD8
MIR101-2,KLF7
CMKLR1,HPR
PLEKHG1,CREBRF
IFT46,CD5L
NFS1,FAM83H
FKTN,RAB11FIP2
RRP7A,SHISA5
DUS3L,HIST1H2BO
FANCG,ALG13
LRIG2,PRR16
FABP12,PROS1
TMEM205,MYH14
EMC9,BSX
MRPS7,STOM
IKZF1,UBE2J1
FARSA,DUSP26
XPO5,VWA5A
ZNF569,PLIN4
MORN1,CXCL2
COQ3,PTPN2
ATP8B2,ZSWIM8
FAM169A,PDK4
RRP1B,SPPL2A
NAGPA,SP100
RPL11,ACVR1
IQCK,PDP1
ESR1,NLRC4
ABI3,TNFSF10
SCARNA7,HIST1H3I
