IBD_DN,IBD_UP
CEBPA,SPRR2G
ICT1,EPWW6493
MIEN1,MLLT1
ZNF250,OXT
AWAT2,FOS
NPY5R,TLCD1
RNF133,SLC22A6
CCDC110,JOSD2
ANKRD16,MMP11
PKIA,CD36
FBXL4,STK39
PPIP5K1,ST20-AS1
RFT1,DOK7
TTLL12,BTN3A3
ENDOD1,MBD6
TRPV2,UBXN7-AS1
CCR6,LYPLA2
MDH2,FOXC1
HOMER2,VPS45
CD80,PTPRM
ACBD6,
CHIC1,
SCARNA8,
TARP,
DNMBP,
PPCDC,
RASA3,
SERPIND1,
MRPL15,
APEH,
LPPR4,
DSTYK,
SMARCA1,
SPDL1,
KLHL7,
GALNTL5,
MOBP,
DPH6,
ZBTB9,
DCAF4,
FAAP24,
TEX14,
CPSF4,
THEMIS,
ANAPC16,
RTN1,
TPD52L2,
ABI2,
SPINK14,
MRPL4,
MAD2L1BP,
ITK,
SMIM8,
SEPW1,
KLRC2,
PCCB,
CDK5R1,
CKS2,
PRO2949,
CATSPER1,
PEMT,
TFEB,
DPH7,
KCNJ13,
C5orf45,
TEX26,
SPATA6,
RFTN1,
THAP5P1,
CTAGE1,
BLK,
ANKH,
NAP1L1,
MIR222,
MIR148B,
TMED3,
GYG2,
RPS6KA6,
TP53BP1,
CHMP7,
RNF17,
RAD54L2,
TMC1,
HNRNPH1,
PLLP,
MIR98,
SLC37A2,
ETHE1,
PUS1,
RRN3,
SLC7A1,
ALG12,
DAP3,
LINC00314,
EEF1D,
IL2,
REXO2,
ADGRL4,
KCTD4,
SIDT1,
LGR4,
PTCH1,
TSN,
RTN3,
ARHGEF18,
PTTG3P,
DPP7,
C11orf70,
TSPYL1,
RN7SK,
ABLIM1,
LCK,
DDX56,
LDHAL6A,
RASAL3,
SNORD116-1,
FTSJ3,
NUBP2,
KCNAB2,
SUZ12P1,
RSPH1,
LGALS17A,
RGS12,
SP4,
NTS,
CD52,
GUCY2C,
HSH2D,
SPINT3,
ROBO3,
HNRNPL,
DGKG,
UCKL1,
UBAC2,
RACGAP1P,
MEP1A,
NKAPP1,
SPTY2D1,
MRI1,
CDC25A,
DAGLA,
DCUN1D4,
C1orf109,
LOC148696,
B4GALT7,
USP53,
SF3B3,
MSANTD2,
SNRNP25,
SYNE2,
BRMS1L,
RP1,
SMARCC2,
IGIP,
HGSNAT,
RPS5,
BTK,
CCDC167,
ASPA,
MRRF,
C10orf120,
NSUN5,
LMNA,
RPUSD2,
GABRG1,
C16orf58,
NDUFS3,
PPIA,
RPS6KA2,
FAM118A,
LARS2,
NGRN,
CD28,
TMEM126A,
SNAI3,
B3GALNT2,
RIC3,
TBCB,
SGCA,
KCNK18,
S100A7L2,
UQCRC1,
OR10X1,
NCALD,
LRRC31,
KCND2,
KCTD6,
GSDMC,
PCDHB4,
ULK4,
FKBP7,
FBXO36,
DNAH7,
COX14,
ECI1,
SIGLEC17P,
MIPEP,
CSTF1,
ZNF623,
RNH1,
CDIP1,
KLRC1,
ZNF112,
E2F5,
PDGFRB,
CD5,
TRIM38,
ACTR1B,
RANBP3L,
AMOT,
RAB32,
DDX49,
IP6K1,
LRFN2,
INPP5D,
MYOZ2,
HAUS8,
LPPR1,
MMS19,
KIAA1024L,
CTSZ,
RPS15A,
DYNC1H1,
TPI1,
ZAP70,
PCAT4,
RBP7,
ZKSCAN8,
KLHDC3,
ARHGAP6,
SLC18B1,
AP1M1,
CD109,
NOC3L,
RPE,
PLEKHG7,
CAMK2G,
HERC1,
SFRP4,
DUSP6,
DZANK1,
ZNF436-AS1,
RNF125,
APEX1,
GZMH,
DR1,
TTC6,
FAM9C,
SLC1A4,
ZNHIT1,
NXPE1,
ADCK3,
SLC9A3R1,
TEX37,
ABCF2,
AGBL4,
UBE2E2,
ZFP41,
SIT1,
GEMIN7,
EPB41L4A-AS1,
GPR55,
ATRAID,
SLC25A42,
SPOCK3,
ERI3,
PDZD4,
PLK4,
ROR1,
TLL1,
NAP1L3,
FMNL3,
MKRN2,
MIR323A,
PAN3,
CD200,
SRSF6,
SHMT2,
INPP1,
TDRD10,
OR6C76,
CCDC58,
APPL1,
OSTN,
SNORA65,
MYLIP,
WDR89,
ATP6V0E2,
OGDH,
HSD17B7P2,
METTL8,
CTDSP1,
C20orf27,
AGMO,
PARK7,
UNC5C,
DLST,
ADGRG6,
ALG5,
WDR35,
CCT2,
MIR124-3,
RNF157,
PNRC2,
DNAJB5,
KRT36,
MCM6,
ANAPC11,
FAM219B,
C9orf84,
FAN1,
ABRACL,
IL6R,
VPS36,
TTC21A,
HAVCR1,
OR9A4,
LARGE,
FMO2,
NUFIP2,
TMEM81,
RANBP1,
ZNF563,
LACE1,
HADH,
AKR1A1,
SOAT1,
IL5RA,
CALR,
MIR331,
VKORC1,
SNORD115-2,
ELAVL1,
EPB41L4A,
PHPT1,
SH3D19,
F9,
OR4A15,
LOC100134868,
FAM167A,
PPA2,
RFC4,
FSHR,
FAM60A,
PRPF4,
TAGLN2,
TIAM2,
ERBB2,
PRMT9,
GFOD1,
IMPACT,
POGK,
LEF1,
C12orf40,
KDM1A,
SLC7A13,
WBP1L,
DIAPH1,
LOC645261,
NPY1R,
DEPDC4,
ERCC6L,
MYO1H,
CD40LG,
EID3,
DDX54,
TRMT2B,
MIR26A2,
HINT2,
DNAJB6,
G2E3,
CD3EAP,
TRAPPC2,
GGTA1P,
NDST3,
ZC3HAV1L,
TNFAIP8L1,
TMEM257,
IFNA21,
NR1D2,
DET1,
PDGFD,
GALNT12,
LOC100132099,
THG1L,
TDRKH,
