GOBP_MYELOID_LEUKOCYTE_ACTIVATION,GOBP_PHAGOCYTOSIS,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GOBP_MACROPHAGE_ACTIVATION,GOBP_MYELOID_LEUKOCYTE_MIGRATION,GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,GOBP_OXIDATIVE_PHOSPHORYLATION
PYCARD,CORO1C,HMGB1,STAT3,TREM2,CXCL2,TGFBR2,AKIRIN2,CD14,,MT-ATP6
ANXA1,SH3BP1,HSPB1,TLR4,PRKCE,CXCL3,THBS1,MAPK13,CD58,,MT-ATP8
ADGRE2,ALOX15,IFNGR1,TNF,SUCNR1,ANXA1,TSPO,SPHK2,CD74,,MT-CO1
HMGB1,ABL1,APP,TYROBP,PTPRC,NCKAP1L,TLR4,PTAFR,,,MT-CO2
HMOX1,FYN,LILRA5,WNT5A,RORA,ADGRE2,TP53,MAVS,,,MT-CO3
HSPD1,LETMD1,IL1A,FZD5,CCL3,HMGB1,TYROBP,PTPN11,,,MT-CYB
CLEC4D,C1orf43,IL6,GSDMD,CX3CL1,HRH1,ZNF205,SELENOK,,,MT-ND1
IFI35,APPL1,IL12B,CASP1,CRTC3,IL1A,ZC3H12A,TRPV4,,,MT-ND2
IFNGR1,GAS6,JAK2,CASP8,SLC11A1,IL1B,HVCN1,NOD2,,,MT-ND3
IFNGR2,VPS33B,ARG2,HAVCR2,SNCA,IL1R1,AKR1C3,IFIH1,,,MT-ND4
APP,EIF2AK1,LGALS9,RIPK2,SYK,IL6,CBR1,CARD9,,,MT-ND4L
RBPJ,PYCARD,LPL,NLRP12,THBS1,IL6R,RIPK1,CLEC7A,,,MT-ND5
IL4R,GSN,ARRB2,AIM2,TLR1,CXCL8,CD36,STAT3,,,MT-ND6
IL6,ANXA1,MIF,CD36,TLR2,ITGA1,,SYK,,,NDUFA1
CXCL8,HCK,MYD88,,TLR4,ITGA9,,BTK,,,NDUFA2
IL15,NCKAP1L,NFKBIL1,,GPR137B,ITGB2,,TLR1,,,NDUFA3
IL18,ANXA11,OAS1,,C1QA,RHOG,,TLR2,,,NDUFA4
IRF4,HMGB1,OAS2,,TNF,LGALS3,,TLR4,,,NDUFA5
ITGAM,RAB7B,OAS3,,C5AR1,RHOH,,TNF,,,NDUFA6
ITGB2,ICAM3,CLEC4A,,TYROBP,LYN,,TRAF6,,,NDUFA8
ITGB8,IRF8,UBE2J1,,WNT5A,CD99,,TNFSF4,,,NDUFA9
JAK2,TICAM2,IL23A,,TNIP2,MIF,,TYROBP,,,NDUFA10
JUN,IL1B,PIK3R1,,ZC3H12A,MMP2,,WNT5A,,,NDUFAB1
JUND,IL2RB,PLCG2,,DYSF,MMP14,,XBP1,,,NDUFB1
KARS1,IL2RG,ACP5,,HAVCR2,CD200,,IL17RC,,,NDUFB2
LCP2,IL15,SETD4,,CST7,MPP1,,HYAL2,,,NDUFB3
LDLR,IL15RA,ERRFI1,,CD84,MYD88,,RIPK2,,,NDUFB4
LGALS9,ITGAL,TREM2,,SPHK1,NBL1,,BCL10,,,NDUFB5
RHOH,ITGAM,SASH3,,NMI,NF1,,ARHGEF2,,,NDUFB6
MYO18A,ITGAV,SELENOS,,MFHAS1,P2RX4,,CD36,,,NDUFB7
PLPP6,ITGB1,PSEN1,,CD74,PAFAH1B1,,CD74,,,NDUFB8
LTBR,ITGB2,SPHK2,,PJA2,SERPINE1,,,,,NDUFB9
LYN,ITGB3,PTAFR,,,IRAK4,,,,,NDUFB10
MIF,RHOG,MAVS,,,CKLF,,,,,NDUFC1
CD200,LDLR,PTPN6,,,PDE4B,,,,,NDUFC2
MYD88,LEPR,PTPN11,,,PDGFB,,,,,NDUFS1
ATM,LIMK1,PTPRC,,,IL23A,,,,,NDUFS2
NOTCH2,RHOH,PTPRJ,,,PECAM1,,,,,NDUFS3
PDPK1,MYO18A,CACTIN,,,PIK3CD,,,,,NDUFV1
PIK3CD,LRP1,SELENOK,,,PIK3CG,,,,,NDUFS4
PIK3CG,LYN,RARA,,,PIK3R1,,,,,NDUFS5
PLA2G4A,MET,TRIM27,,,TREM2,,,,,NDUFS6
PLCG2,MSR1,BCL3,,,TREM1,,,,,NDUFS8
PLSCR1,MYD88,CCL3,,,PPBP,,,,,NDUFV2
TREM2,MYH9,CCL19,,,PPIA,,,,,NDUFV3
BATF3,NCF2,CX3CL1,,,PPIB,,,,,ATP5F1A
PRKCD,NCF4,VSIR,,,MAPK1,,,,,ATP5F1B
PRKCE,P2RX7,NOD2,,,MAPK3,,,,,ATP5F1C
KMT2E,P2RY6,IFIH1,,,LGMN,,,,,NDUFA13
PSEN1,PAK1,CARD9,,,SLAMF8,,,,,NDUFAF1
SUCNR1,BIN2,CLEC7A,,,CAMK1D,,,,,CHCHD2
SPHK2,RAB14,ILRUN,,,PTGER4,,,,,ATP5F1D
C12orf4,PECAM1,SLAMF1,,,PTK2,,,,,ATP5F1E
PTAFR,CFP,SPN,,,MTUS1,,,,,ATP5PB
PREX1,PIK3CA,STAT3,,,PREX1,,,,,ATP5ME
PTPN6,PLCG2,SYK,,,PTPRO,,,,,ATP5PF
PTPRC,PLD2,BTK,,,SELENOK,,,,,ATP7A
NECTIN2,PLSCR1,THBS1,,,RAC1,,,,,ATP5PO
SNX6,TREM2,TSPO,,,RAC2,,,,,CYCS
RAC2,RAB39A,TLR1,,,TRPV4,,,,,NDUFB11
RELB,XKR8,TLR2,,,BCR,,,,,SDHAF2
RORA,APPL2,TLR4,,,RPS19,,,,,NDUFA12
BCR,ARL8B,TNFAIP3,,,S100A8,,,,,COQ9
S100A12,PIP4P2,TYROBP,,,S100A9,,,,,BID
CCL3,LYAR,WNT5A,,,S100A12,,,,,SDHA
CCL5,RAB20,ZFP36,,,CCL2,,,,,SDHB
CX3CL1,PRKCD,FZD5,,,CCL3,,,,,SDHC
CRLF2,PRKCE,ZC3H12A,,,CCL5,,,,,SDHD
CRTC3,CDC42SE1,FRMD8,,,CCL17,,,,,SHMT2
SLAMF1,CDC42SE2,HAVCR2,,,CCL18,,,,,PINK1
SLC11A1,CAMK1D,RIPK1,,,CCL19,,,,,ANTKMT
SNCA,PTK2,RIPK2,,,CCL22,,,,,SNCA
SPI1,ADGRB1,FADD,,,CCL24,,,,,TAFAZZIN
STX4,PTPRC,CD84,,,CXCL5,,,,,TNF
STXBP1,PTPRJ,BCL10,,,CX3CL1,,,,,UQCRB
STXBP2,RAB5A,ARHGEF2,,,NOD2,,,,,UQCRC1
STXBP3,RAB27A,MAPKAPK2,,,SLAMF1,,,,,UQCRC2
VAMP2,RAC1,CD14,,,SPI1,,,,,UQCRFS1
VAMP7,RAC2,CD86,,,SRP54,,,,,UQCRH
SYK,RARA,TNFRSF8,,,STAT5B,,,,,VCP
BTK,BCR,CD33,,,BSG,,,,,SLC25A23
TGFBR2,CCL2,IL27RA,,,BST1,,,,,UQCC3
THBS1,VIPAS39,CD36,,,SYK,,,,,TEFM
TLR1,ELMO2,CD47,,,THBS1,,,,,SLC25A33
TLR2,MYO1G,,,,C1QBP,,,,,DNAJC30
TLR4,NOD2,,,,TNFAIP6,,,,,UQCC2
GPR137B,ATG3,,,,C3AR1,,,,,COX7A2L
C1QA,CLEC7A,,,,C5,,,,,SLC25A51
TNF,SLAMF1,,,,C5AR1,,,,,COX5A
TRAF6,SLC11A1,,,,VAV1,,,,,ATP5MF
C5AR1,SOD1,,,,VEGFA,,,,,
TYROBP,SRC,,,,VEGFB,,,,,
LAT2,VAMP7,,,,PLA2G7,,,,,
WNT5A,SYK,,,,AKIRIN1,,,,,
TNIP2,BTK,,,,RIN3,,,,,
NR4A3,TGM2,,,,NUP85,,,,,
ZC3H12A,THBS1,,,,CD99L2,,,,,
DCSTAMP,ICAM5,,,,JAGN1,,,,,
DYSF,TLR2,,,,IL17RC,,,,,
PRAM1,TLR4,,,,GBF1,,,,,
HAVCR2,TNF,,,,TNFRSF11A,,,,,
CST7,C2,,,,MCU,,,,,
CBL,C3,,,,CD9,,,,,
VAMP8,C4B,,,,CD47,,,,,
HYAL2,TYROBP,,,,CD74,,,,,
SNX4,VAV1,,,,CD81,,,,,
ADAM9,VAV2,,,,RIPOR2,,,,,
SNAP23,RAB7A,,,,WDR1,,,,,
CD84,ELMO3,,,,,,,,,
SPHK1,SPG11,,,,,,,,,
NMI,COLEC12,,,,,,,,,
MFHAS1,CALR,,,,,,,,,
VAMP3,DYSF,,,,,,,,,
CD33,RAB34,,,,,,,,,
CD74,PIP5K1A,,,,,,,,,
GAB2,PLA2G6,,,,,,,,,
PJA2,KIAA1109,,,,,,,,,
,TMEM175,,,,,,,,,
,BECN1,,,,,,,,,
,MARCO,,,,,,,,,
,SNX3,,,,,,,,,
,SPHK1,,,,,,,,,
,CD14,,,,,,,,,
,ARHGAP12,,,,,,,,,
,ATG5,,,,,,,,,
,CD36,,,,,,,,,
,SCARB1,,,,,,,,,
,CD47,,,,,,,,,
,RUBCN,,,,,,,,,
,TM9SF4,,,,,,,,,
,ELMO1,,,,,,,,,
,CD302,,,,,,,,,
,ARHGAP25,,,,,,,,,
,CDC42,,,,,,,,,
