pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_MACROPHAGE_ACTIVATION,2.08755629272304e-08,4.69700165862685e-08,0.73376198835648,-0.67031085184499,-2.22042377008385,66,SLC11A1|ITGB2|TLR4|ITGAM|TLR2|PTPRC|CTSC|FCGR2B|C1QA|TLR1|NR1H3|CCL3|TLR6|FCGR3A|MYO18A|CD74|GRN|SYK|IFNGR1|HAVCR2|TMEM106A|SNCA|PLCG2|APP|LRRK2|PLA2G4A|TREM2|TNF|CEBPA|LDLR|ZC3H12A|CRTC3|CD84
GOBP_MYELOID_LEUKOCYTE_ACTIVATION,2.18853608289333e-15,1.969682474604e-14,1.00731795687447,-0.644096540786613,-2.35026254809087,145,RAC2|ADGRE2|PTAFR|SLC11A1|ITGB2|PTPN6|TLR4|ITGAM|TLR2|TGFBR2|PTPRC|LCP2|CTSC|FGR|FCGR2B|C1QA|LAT2|PLSCR1|FCER1G|CLEC4D|TLR1|DOCK2|NR1H3|CD33|CCL3|TLR6|LILRB4|FCGR3A|ADAM10|MYO18A|FES|LGALS9|CD74|GRN|MYD88|SYK|IFNGR1|CSF1|CD300LF|SPI1|HAVCR2|HMOX1|TMEM106A|SNCA|HYAL2|MILR1|CBL|PLCG2|APP|PIK3CD|PRKCD|LRRK2|PLA2G4A|STXBP1|VAMP8|TREM2|TNF|CD226|CEBPA|BTK|LDLR|ZC3H12A|LTBR|C12orf4|PIK3CG|CCL5|CRTC3|CD84
GOBP_MYELOID_LEUKOCYTE_MIGRATION,3.57850874536119e-08,5.36776311804179e-08,0.719512826338911,-0.568686600406997,-2.0491380127785,128,RAC2|ADGRE2|MMP14|JAML|VAV1|ITGB2|CCL2|CSF1R|CCR1|CXCL5|IL17RA|SERPINE1|CXCL1|PECAM1|CD81|CMKLR1|FLT1|FCER1G|S100A9|IL1B|PLA2G7|CCL3|CSF3R|S100A8|CD74|MYD88|SYK|MPP1|CSF1|CD99|NCKAP1L|CXCL3|SPI1|PTPRO|C5AR2|PTK2|PIK3CD|CD9|CCL24|MAPK3|TREM2|C5|IL17RC
GOBP_PHAGOCYTOSIS,2.44994314528359e-13,1.10247441537761e-12,0.932595211336209,-0.606245869651612,-2.22947228567298,161,RAC2|NCF2|GSN|SLC11A1|LRP1|VAV1|ITGB2|CCL2|CD14|TLR4|ITGAM|TLR2|ITGAL|LIMK1|PTPRC|NCF4|FGR|FCGR2B|PECAM1|CORO1C|IRF8|PLSCR1|FCER1G|RARA|IL1B|CLEC7A|BIN2|DOCK2|NR1H3|RAB31|MYO18A|CD302|MYD88|SRC|SYK|HCK|CD300LF|NCKAP1L|SH3BP1|TGM2|RAB7B|CD36|PLCG2|PTK2|RHOBTB2|PRKCD|RAB20|IL2RG|DOCK1|CORO1A|COLEC12|C3|TREM2|TNF|ABCA1|CALR|ITGB1|ANO6|RAB7A|PIP4P2|ANXA11|BTK|LDLR|CYBA|PAK1|ARHGAP25|ABL1|CSK|PIKFYVE|RAB27A|TM9SF4
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,2.24828018979966e-06,2.89064595831386e-06,0.627256739718528,-0.669758776875995,-2.10078696035486,48,TLR4|NLRC4|CARD8|CLEC7A|MNDA|CCL3|TLR6|HK1|LGALS9|MYD88|NLRP1|IL16|NAIP|HAVCR2|NLRP2|TMEM106A|LPL|TMED10|CD36|APP|TNF|IFI16|TLR8
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,3.75166279047248e-09,1.12549883714174e-08,0.761460801445585,-0.690959143308446,-2.26367910153362,63,PTAFR|TLR4|POU2F2|TLR2|IL17RA|LILRB2|IL1RAP|IL1B|CLEC7A|TLR1|TLR6|CARD9|LGALS9|CD74|MYD88|SYK|MBP|IL16|TMEM106A|LPL|HYAL2|RAB7B|CD36|PLCG2|APP|TNF|TLR8|DDX58|IL17RC|BTK|CYBA
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,3.3154524895705e-05,3.72988405076682e-05,0.557332238758646,-0.67317135284571,-2.01339144396841,37,CHI3L1|CD14|TLR4|TLR2|SERPINE1|IL1B|CLEC7A|TLR1|LGALS9|CD74|MYD88|SYK|HYAL2|TNF|TLR8|DDX58
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.000217522971513762,0.000217522971513762,0.518848077743792,-0.604992631406529,-1.92378290476039,50,ITGB2|PID1|TLR4|ITGAM|TGFBR2|TGFB1|HVCN1|CLEC7A|TLR6|DHRS4|SYK|SNCA|CYP1B1|CD36|PLCG2|PRKCD|CBR1|GNAI2|CYBA|ZC3H12A|SLC5A3|RAB27A
GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,3.04023974548276e-08,5.36776311804179e-08,0.719512826338911,-0.577683855424808,-2.04861610253894,117,PTAFR|GPNMB|CYBB|LILRB1|CD14|PTPN6|SPN|TLR4|TLR2|PTPRC|IL27RA|ACP5|RARA|CLEC7A|TLR1|CD33|CCL3|CARD9|LILRB4|FCGR3A|LGALS9|MYD88|SYK|IRAK3|IFNGR1|PTPN22|VSIR|HAVCR2|TMEM106A|LPL|C5AR2|CD36|PLCG2|APP|SASH3|LRRK2|TREM2|DDX58|MAPKAPK2|BTK|CYBA|ZC3H12A
